table,elmer_name,elmer_value,model_value,model_name
household,res_type,Single-family house (detached house),1,hrestype
household,res_type,Townhouse (attached house),2,hrestype
household,res_type,Building with 3 or fewer apartments/condos,2,hrestype
household,res_type,Building with 4 or more apartments/condos,3,hrestype
household,res_type,Mobile home/trailer,4,hrestype
household,res_type,Dorm or institutional housing,5,hrestype
household,res_type,"Other (including boat, RV, van, etc.)",6,hrestype
household,res_type,Missing Response,9,hrestype
household,rent_own,Own/paying mortgage,1,hownrent
household,rent_own,Rent,2,hownrent
household,rent_own,Provided by job or military,3,hownrent
household,rent_own,Prefer not to answer,3,hownrent
household,rent_own,Other,3,hownrent
household,rent_own,"Provided by family, relative, or friend without payment or rent",3,hownrent
household,rent_own,Missing Response,3,hownrent
household,hhincome_detailed,"Under $10,000",5000,income
household,hhincome_detailed,"$10,000-$24,999",17500,income
household,hhincome_detailed,"$25,000-$34,999",30000,income
household,hhincome_detailed,"$35,000-$49,999",42500,income
household,hhincome_detailed,"$50,000-$74,999",62500,income
household,hhincome_detailed,"$75,000-$99,999",87500,income
household,hhincome_detailed,"$100,000-$149,999",125000,income
household,hhincome_detailed,"$150,000-$199,999",175000,income
household,hhincome_detailed,"$200,000-$249,999",225000,income
household,hhincome_detailed,"$250,000 or more",250000,income
household,hhincome_detailed,Prefer not to answer,-1,income
household,hhincome_detailed,Missing: Skip Logic,-1,income
household,hhsize,1 person,1,hhsize
household,hhsize,2 people,2,hhsize
household,hhsize,3 people,3,hhsize
household,hhsize,4 people,4,hhsize
household,hhsize,5 people,5,hhsize
household,hhsize,6 people,6,hhsize
household,hhsize,7 people,7,hhsize
household,hhsize,8 people,8,hhsize
household,hhsize,9 people,9,hhsize
household,hhsize,10 people,10,hhsize
household,hhsize,11 people,11,hhsize
household,hhsize,12 people,12,hhsize
household,hhsize,13 or more people,13,hhsize
household,numworkers,0 workers,0,numworkers
household,numworkers,1 worker,1,numworkers
household,numworkers,2 workers,2,numworkers
household,numworkers,3 workers,3,numworkers
household,numworkers,4 workers,4,numworkers
household,numworkers,5 workers,5,numworkers
household,numadults,0 adults,0,numadults
household,numadults,1 adult,1,numadults
household,numadults,2 adults,2,numadults
household,numadults,3 adults,3,numadults
household,numadults,4 adults,4,numadults
household,numadults,5 adults,5,numadults
household,vehicle_count,0 (no vehicles),0,auto_ownership
household,vehicle_count,1 vehicle,1,auto_ownership
household,vehicle_count,2 vehicles,2,auto_ownership
household,vehicle_count,3 vehicles,3,auto_ownership
household,vehicle_count,4 vehicles,4,auto_ownership
household,vehicle_count,5 vehicles,5,auto_ownership
household,vehicle_count,6 vehicles,6,auto_ownership
household,vehicle_count,7 vehicles,7,auto_ownership
household,vehicle_count,8 or more vehicles,8,auto_ownership
person,age_detailed,Under 1 year,0,age
person,age_detailed,1 year old,1,age
person,age_detailed,2 years old,2,age
person,age_detailed,3 years old,3,age
person,age_detailed,4 years old,4,age
person,age_detailed,5 years old,5,age
person,age_detailed,6 years old,6,age
person,age_detailed,7 years old,7,age
person,age_detailed,8 years old,8,age
person,age_detailed,9 years old,9,age
person,age_detailed,10 years old,10,age
person,age_detailed,11 years old,11,age
person,age_detailed,12 years old,12,age
person,age_detailed,13 years old,13,age
person,age_detailed,14 years old,14,age
person,age_detailed,15 years old,15,age
person,age_detailed,16 years old,16,age
person,age_detailed,17 years old,17,age
person,age_detailed,18 years old,18,age
person,age_detailed,19 years old,19,age
person,age_detailed,20 years old,20,age
person,age_detailed,21 years old,21,age
